EU rejects German call to boycott British lamb .	B-ORG O B-MISC O O O B-MISC O O
At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .	O O O O O O O O O O B-MISC O O B-LOC O O O O O O O O O O O O O O O O O O
Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .	O O O O O O O O O O O O O O B-PER O O O B-PER I-PER O O O O O O O O O O
They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .	O O O O O O O O O O O O O B-PER O O O O O O O O B-MISC O O O O O O O O O O
The guitarist died of a drugs overdose in 1970 aged 27 .	O O O O O O O O O O O O
China says Taiwan spoils atmosphere for talks .	B-LOC O B-LOC O O O O O
BEIJING 1996-08-22	B-LOC O
China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .	B-LOC O O O B-LOC O O O O O O O O O O O B-LOC I-LOC O O O O B-LOC O B-MISC O O B-PER I-PER O O O O B-LOC O
Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : " The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . "	O O O O B-MISC O O O O O O O O O O O O O B-LOC O B-ORG I-ORG O B-PER I-PER O B-ORG O O O O O O O O O O O O O O O O B-LOC O O O
State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .	O O O B-LOC O O O O B-LOC O B-PER I-PER O O O O O O O B-LOC O O O O O O O O O O O O O O
" Now is the time for the two sides to engage in political talks ...	O O O O O O O O O O O O O O O
that is to end the state of hostility , " Thursday 's overseas edition of the People 's Daily quoted Tang as saying .	O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-PER O O O
The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .	O O O O B-ORG O B-ORG I-ORG O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O B-LOC O O B-LOC O O O O O
China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .	B-LOC O O O O O O B-LOC O O O O O O O O O O O O O B-LOC O O O B-MISC O O B-PER O
China says time right for Taiwan talks .	B-LOC O O O O B-LOC O O
BEIJING 1996-08-22	B-LOC O
China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .	B-LOC O O O O O O O O O B-LOC O O O O O O O O O O O O O
Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .	O O O O O O O O O O O O O O O O B-ORG O O O B-PER I-PER O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O
German July car registrations up 14.2 pct yr / yr .	B-MISC O O O O O O O O O O
FRANKFURT 1996-08-22	B-LOC O
German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .	B-MISC O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O
The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .	O O O O O O O O O O O O O O O O O O O
The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .	O O O O O O O O O O O O O O O O O O O O O
Motor-bike registration rose 32.7 percent in the period .	O O O O O O O O O
The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .	O O O O O O O O O O B-MISC O B-MISC O O O O O O O O O O O O O O O O O
Almost all German car manufacturers posted gains in registration numbers in the period .	O O B-MISC O O O O O O O O O O O
Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .	B-ORG I-ORG O O O O O O O O O O O O O
Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .	B-ORG I-ORG O O B-ORG I-ORG O O O O O O O O O O O O O O O
Third was Ford with 35,563 registrations , or 11.7 percent .	O O B-ORG O O O O O O O O
Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .	O B-ORG O B-ORG O O O O O O O O O O O O O
Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .	B-ORG O O O O O O O O O O O O O
Porsche 's registrations fell to 554 from 643 .	B-ORG O O O O O O O O
GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .	B-MISC O O O O O O O O O
ATHENS 1996-08-22	B-LOC O
The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .	O B-MISC O O O O O O O O O O O O B-PER I-PER O O O O O O O O B-PER I-PER O O O
Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .	O O B-PER I-PER O O O O O O O O O O O O O O O O B-PER O
-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4	O B-PER I-PER O B-ORG I-ORG O O
BayerVB sets C$ 100 million six-year bond .	B-ORG O B-MISC O O O O O
LONDON 1996-08-22	B-LOC O
The following bond was announced by lead manager Toronto Dominion .	O O O O O O O O B-PER I-PER O
BORROWER BAYERISCHE VEREINSBANK	O B-ORG I-ORG
AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02	O B-MISC O O O O O O
TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96	O O O O O O O O
FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP	O O O O O O O O
MOODY AA1 LISTING LUX PAY FREQ =	O O O O O O O
S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA	B-ORG O O O O O O O O B-LOC O B-LOC O B-LOC
NEG PLG NO CRS DEFLT NO FORCE MAJ =	O O O O O O O O O
GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD	O O B-MISC O O O O O O
MGT / UND 0.275 SELL CONC 1.60 PRAECIP =	O O O O O O O O O
UNDERLYING GOVT BOND 7.0 PCT SEPT 2001	O O O O O O O
NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER	O B-ORG I-ORG O O O O
-- London Newsroom +44 171 542 7658	O B-ORG I-ORG O O O O
Venantius sets $ 300 million January 1999 FRN .	B-ORG O O O O O O O O
LONDON 1996-08-22	B-LOC O
The following floating-rate issue was announced by lead manager Lehman Brothers International .	O O O O O O O O O B-ORG I-ORG I-ORG O
BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY )	O B-ORG I-ORG O B-MISC O O O O
AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99	O O O O O O O O O O
TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96	O O O B-ORG O O O O
LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP	O O O O O O O O O O
LAST S&P AA+ REOFFER =	O B-ORG O O O
NOTES S SHORT FIRST COUPON	O O O O O
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR	O B-LOC O O O O O O O B-LOC O B-LOC O B-LOC O B-LOC
NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2	O O O O O O O O O O
GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD	O O B-MISC O O B-LOC O O O
MGT / UND 5 BP SELL CONC 5 BP PRAECIP =	O O O O O O O O O O O
NOTES ISSUED OFF EMTN PROGRAMME	O O O O O
-- London Newsroom +44 171 542 8863	O B-ORG I-ORG O O O O
Port conditions update - Syria - Lloyds Shipping .	O O O O B-LOC O B-ORG I-ORG O
Port conditions from Lloyds Shipping Intelligence Service --	O O O B-ORG I-ORG I-ORG I-ORG O
LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .	B-LOC O O O O O O O B-LOC O B-LOC O O O O
Israel plays down fears of war with Syria .	B-LOC O O O O O O B-LOC O
Colleen Siegel	B-PER I-PER
JERUSALEM 1996-08-22	B-LOC O
Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .	B-LOC O O O O O B-LOC O O O O O O O O O O O O O O O O O O
Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .	B-PER I-PER O O O B-LOC O O O B-LOC O O O O B-LOC O O B-ORG I-ORG O O O B-LOC O O O O O O O
" It appears to me the Syrian priority is still to negotiate .	O O O O O O B-MISC O O O O O O
The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , " he said .	O B-MISC O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O
Rabinovich is winding up his term as ambassador .	B-PER O O O O O O O O
He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .	O O O O O B-PER I-PER O O O B-MISC O O B-LOC O O B-ORG O O O
Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .	B-LOC O O O B-LOC O O O O B-LOC O O O O O O O O O O O O O O O
But it slammed Damascus for creating what it called a dangerous atmosphere .	O O O B-LOC O O O O O O O O O
Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .	B-LOC O B-LOC O O O O O O O O O O B-MISC O O O B-LOC O O O O O O O
It said its arms purchases were for defensive purposes .	O O O O O O O O O O
" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , " Israeli Foreign Minister David Levy told Israel Radio in an interview .	O O O O O O O O B-MISC O B-PER I-PER O B-PER O O B-LOC O O O O O O O O O O O O O B-MISC O O B-PER I-PER O B-ORG I-ORG O O O O
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .	O O O O B-MISC O O B-PER I-PER O O O O O O O O B-LOC I-LOC B-LOC O O B-LOC O O O B-LOC I-LOC O O
Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .	B-MISC O O O O O O O B-LOC O O O O O O O O O O B-LOC O O
Peace talks between the two sides were last held in February .	O O O O O O O O O O O O
" The voices coming out of Damascus are bad , not good .	O O O O O O B-LOC O O O O O O
The media ...	O O O
are full of expressions and declarations that must be worrying ...	O O O O O O O O O O O
this artificial atmosphere is very dangerous because those who spread it could become its prisoners , " Levy said .	O O O O O O O O O O O O O O O O O B-PER O O
" We expect from Syria , if its face is to peace , that it will answer Israel 's message to enter peace negotiations because that is our goal , " he said . "	O O O O B-LOC O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O
We do not want a war , God forbid .	O O O O O O O B-PER O O
No one benefits from wars . "	O O O O O O O
Israel 's Channel Two television said Damascus had sent a " calming signal " to Israel .	B-LOC O B-ORG I-ORG O O B-LOC O O O O O O O O B-LOC O
It gave no source for the report .	O O O O O O O O
Netanyahu and Levy 's spokesmen said they could not confirm it .	B-PER O B-PER O O O O O O O O O
The television also said that Netanyahu had sent messages to reassure Syria via Cairo , the United States and Moscow .	O O O O O B-PER O O O O O B-LOC O B-LOC O O B-LOC I-LOC O B-LOC O
Polish diplomat denies nurses stranded in Libya .	B-MISC O O O O O B-LOC O
TUNIS 1996-08-22	B-LOC O
A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .	O B-MISC O O O O O B-MISC O O O O O B-LOC O O O O O O B-MISC O O O O O O O O O B-MISC I-MISC O O
" This is not true .	O O O O O O
Up to today , we have no knowledge of any nurse stranded or kept in Libya without her will , and we have not received any complaint , " the Polish embassy 's charge d'affaires in Tripoli , Tadeusz Awdankiewicz , told Reuters by telephone .	O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O B-MISC O O O O O B-LOC O B-PER I-PER O O B-ORG O O O
Poland 's labour ministry said this week it would send a team to Libya to investigate , but Awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries .	B-LOC O O O O O O O O O O O O B-LOC O O O O B-PER O O O O O O O O O O O O O O O O O O O O
He said that there are an estimated 800 Polish nurses working in Libya .	O O O O O O O O B-MISC O O O B-LOC O
Two Iranian opposition leaders meet in Baghdad .	O B-MISC O O O O B-LOC O
Hassan Hafidh	B-PER I-PER
BAGHDAD 1996-08-22	B-LOC O
An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month .	O B-MISC O O O O B-LOC O O O O O O O B-LOC O B-MISC O O O O O O B-MISC O O O B-LOC O O O
A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .	O B-ORG I-ORG O O O O B-PER I-PER O O B-LOC O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O B-PER I-PER O O O O O O O B-LOC O O B-MISC O
" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , " it said .	O B-MISC O O O B-MISC B-ORG O O O O O O O O O B-MISC O O O O O O B-LOC I-LOC O O O O O
A spokesman for the group said the meeting " signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions " .	O O O O O O O O O O O O O O O O B-ORG I-ORG O O B-MISC I-MISC O O O
Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .	B-LOC O O O O O B-LOC O O O O O B-ORG O O O B-MISC I-MISC O O O O O O O O B-LOC O
Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .	B-MISC I-MISC O O B-LOC O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O
PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .	B-ORG O B-LOC O B-ORG I-ORG I-ORG O B-ORG O O O O B-MISC I-MISC O O O O O B-LOC O O O O B-MISC O O O O B-LOC O O O B-MISC I-MISC O
Clashes between the two parties broke out at the weekend in the most serious fighting since a U.S.-sponsored ceasefire last year .	O O O O O O O O O O O O O O O O O B-MISC O O O O
Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days .	B-ORG I-ORG O B-MISC O O O O O B-ORG O O B-LOC O O B-LOC O O O B-MISC O O O O O O O
It said about 100 Iraqi Kurds were killed or wounded in the attack .	O O O O B-MISC I-MISC O O O O O O O O
Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels .	O B-LOC O B-LOC O O O O O O O O O B-LOC O O O O O B-MISC O O
A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .	O B-MISC O O O O B-LOC O B-MISC I-MISC O O O O B-LOC O O
Saudi riyal rates steady in quiet summer trade .	B-MISC O O O O O O O O
MANAMA 1996-08-22	B-LOC O
The spot Saudi riyal against the dollar and riyal interbank deposit rates were mainly steady this week in quiet summer trade , dealers in the kingdom said .	O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
" There were no changes in Saudi riyal rates .	O O O O O O B-MISC O O O
The market was very quiet because of summer holidays , " one dealer said .	O O O O O O O O O O O O O O O
The spot riyal was put at 3.7504 / 06 to the dollar .	O O O O O O O O O O O O O
One-month interbank deposits were at 5-1/2 , 3/8 percent , three months were 5-5/8 , 1/2 percent and six months were 5-3/4 , 5/8 percent .	B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
One-year funds were at six , 5-7/8 percent .	B-MISC O O O O O O O O
Israel approves Arafat 's flight to West Bank .	B-LOC O B-PER O O O B-LOC I-LOC O
JERUSALEM 1996-08-22	B-LOC O
Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .	B-LOC O B-MISC O B-PER I-PER O O O O O O O O O O B-LOC I-LOC O O O O B-MISC O O O B-PER O O O
" The problem is over .	O O O O O O
The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday , " Nabil Abu Rdainah told Reuters .	O O O O O O O O O O B-MISC O O O O O O O O O O O B-LOC I-LOC O O O O B-PER I-PER I-PER O B-ORG O
Arafat had been scheduled to meet former Israeli prime minister Shimon Peres in the West Bank town of Ramallah on Thursday but the venue was changed to Gaza after Israel denied flight clearance to the Palestinian leader 's helicopters .	B-PER O O O O O O B-MISC O O B-PER I-PER O O B-LOC I-LOC O O B-LOC O O O O O O O O B-LOC O B-LOC O O O O O B-MISC O O O O
Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .	B-MISC O O O O O B-PER I-PER O O O O O B-LOC O O O B-PER O O
Arafat subsequently cancelled a meeting between Israeli and PLO officials , on civilian affairs , at the Allenby Bridge crossing between Jordan and the West Bank .	B-PER O O O O O B-MISC O B-ORG O O O O O O O O B-LOC I-LOC O O B-LOC O O B-LOC I-LOC O
Abu Rdainah said Arafat had decided against flying to the West Bank on Thursday , after Israel lifted the ban , because he had a busy schedule in Gaza and would not be free until Monday .	B-PER I-PER O B-PER O O O O O O B-LOC I-LOC O O O O B-LOC O O O O O O O O O O O B-LOC O O O O O O O O
Arafat to meet Peres in Gaza after flight ban .	B-PER O O B-PER O B-LOC O O O O
JERUSALEM 1996-08-22	B-LOC O
Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .	B-PER I-PER O O B-PER I-PER O B-LOC O O O B-MISC O O O B-MISC O O O O B-MISC O O O O O B-LOC I-LOC O O O O O O O O
" The meeting between Peres and Arafat will take place at Erez checkpoint in Gaza and not in Ramallah as planned , " Peres ' office said .	O O O O B-PER O B-PER O O O O B-LOC O O B-LOC O O O B-LOC O O O O B-PER O O O O
Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres .	B-MISC O O O B-MISC O O O B-PER O O B-LOC O O B-MISC O O O B-LOC I-LOC O O O O O O O O B-PER O
Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .	B-MISC O O B-PER I-PER O O O O B-PER O O O O O O O O O O O O O B-ORG O O O O O O O O
Afghan UAE embassy says Taleban guards going home .	B-MISC B-LOC O O B-MISC O O O O
Hilary Gush	B-PER I-PER
DUBAI 1996-08-22	B-LOC O
Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .	O B-MISC O O O O B-LOC I-LOC I-LOC O O O B-MISC O O O O O B-MISC O O O O B-LOC O O O O O O B-MISC O O B-LOC I-LOC O O O O
" Our ambassador is in touch with the UAE foreign ministry .	O O O O O O O O B-LOC O O O
Their return to Afghanistan will take place in two or three days , " an embassy official said .	O O O B-LOC O O O O O O O O O O O O O O O
" The embassy is issuing them travel documents for their return to their homeland .	O O O O O O O O O O O O O O O
There is no objection to their travel , " he added .	O O O O O O O O O O O O
The three Islamic Taleban guards were overpowered by seven Russian aircrew who escaped to UAE state Sharjah last Friday on board their own aircraft after a year in the captivity of Taleban militia in Kandahar in southern Afghanistan .	O O B-MISC I-MISC O O O O O B-MISC O O O O B-LOC O B-LOC O O O O O O O O O O O O O O B-MISC O O B-LOC O O B-LOC O
The UAE said on Monday it would hand over the three to the International Red Crescent , possibly last Tuesday .	O B-LOC O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O
It has since been silent on the issue .	O O O O O O O O O
When asked whether the three guards would travel back to Kandahar or the Afghan capital Kabul , the embassy official said : " That has not been decided , but possibly Kandahar . "	O O O O O O O O O O B-LOC O O B-MISC O B-LOC O O O O O O O O O O O O O O O B-LOC O O
Kandahar is the headquarters of the opposition Taleban militia .	B-LOC O O O O O O B-MISC O O
Kabul is controlled by President Burhanuddin Rabbani 's government , which Taleban is fighting to overthrow .	B-LOC O O O O B-PER I-PER O O O O B-MISC O O O O O
The embassy official said the three men , believed to be in their 20s , were currently in Abu Dhabi .	O O O O O O O O O O O O O O O O O O B-LOC I-LOC O
He did not elaborate .	O O O O O
The Russians , working for the Aerostan firm in the Russian republic of Tatarstan , were taken hostage after a Taleban MiG-19 fighter forced their cargo plane to land in August 1995 .	O B-MISC O O O O B-ORG O O O B-MISC O O B-LOC O O O O O O B-MISC B-MISC O O O O O O O O O O O
Taleban said its shipment of ammunition from Albania was evidence of Russian military support for Rabbani 's government .	B-MISC O O O O O O B-LOC O O O B-MISC O O O B-PER O O O
Moscow said the crew 's nationality was coincidental .	B-LOC O O O O O O O O
Numerous diplomatic attempts to free the seven failed .	O O O O O O O O O
The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .	O B-MISC O O O O O O O O O O O B-MISC O O O O O O O O O O B-MISC I-MISC O O O O O O O B-LOC O B-LOC I-LOC O O O O O
Iraq 's Saddam meets Russia 's Zhirinovsky .	B-LOC O B-PER O B-LOC O B-PER O
BAGHDAD 1996-08-22	B-LOC O
Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain " friendship and cooperation " with Moscow , official Iraqi newspapers said on Thursday .	B-MISC O B-PER I-PER O O O B-MISC O B-PER I-PER O B-LOC O O O O O O O O O B-LOC O O B-MISC O O O O O
" President Saddam Hussein stressed during the meeting Iraq 's keenness to maintain friendship and cooperation with Russia , " the papers said .	O O B-PER I-PER O O O O B-LOC O O O O O O O O B-LOC O O O O O O
They said Zhirinovsky told Saddam before he left Baghdad on Wednesday that his Liberal Democratic party and the Russian Duma ( parliament ) " are calling for an immediate lifting of the embargo " imposed on Iraq after its 1990 invasion of Kuwait .	O O B-PER O B-PER O O O B-LOC O O O O B-ORG I-ORG I-ORG O O B-MISC B-ORG O O O O O O O O O O O O O O O O B-LOC O O O O O B-LOC O
Zhirinovsky said on Tuesday he would press the Russian government to help end U.N. trade sanctions on Iraq and blamed Moscow for delaying establishment of good ties with Baghdad .	B-PER O O O O O O O B-MISC O O O O B-ORG O O O B-LOC O O B-LOC O O O O O O O B-LOC O
" Our stand is firm , namely we are calling on ( the Russian ) government to end the economic embargo on Iraq and resume trade ties between Russia and Iraq , " he told reporters .	O O O O O O O O O O O O O B-MISC O O O O O O O O B-LOC O O O O O B-LOC O B-LOC O O O O O O
Zhirinovsky visited Iraq twice in 1995 .	B-PER O B-LOC O O O O
Last October he was invited to attend the referendum held on Iraq 's presidency , which extended Saddam 's term for seven more years .	O O O O O O O O O O O B-LOC O O O O O B-PER O O O O O O O
PRESS DIGEST - Iraq - Aug 22 .	O O O B-LOC O O O O
BAGHDAD 1996-08-22	B-LOC O
These are some of the leading stories in the official Iraqi press on Thursday .	O O O O O O O O O O B-MISC O O O O
Reuters has not verified these stories and does not vouch for their accuracy .	B-ORG O O O O O O O O O O O O O
THAWRA	B-ORG
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .	O B-LOC O O B-PER I-PER O O O O O B-MISC O O O B-PER I-PER O
